# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    4.17       0.248798       0.392021       0.168276       0.238192
    4.18       0.246366       0.388802       0.166824       0.235838
    4.19       0.243959        0.38561       0.165383       0.233508
     4.2       0.241575       0.382444       0.163956         0.2312
    4.21       0.239214       0.379304        0.16254       0.228915
    4.22       0.236877        0.37619       0.161137       0.226653
    4.23       0.234562       0.373101       0.159746       0.224413
    4.24        0.23227       0.370038       0.158367       0.222196
    4.25           0.23          0.367          0.157           0.22
    4.26       0.227705       0.363709       0.154948       0.217535
    4.27       0.225433       0.360448       0.152923       0.215099
    4.28       0.223184       0.357215       0.150925       0.212689
    4.29       0.220957       0.354012       0.148953       0.210306
     4.3       0.218752       0.350838       0.147006        0.20795
    4.31        0.21657       0.347692       0.145085       0.205621
    4.32       0.214409       0.344574       0.143189       0.203317
    4.33        0.21227       0.341484       0.141318        0.20104
    4.34       0.210152       0.338422       0.139471       0.198788
    4.35       0.208055       0.335387       0.137648       0.196561
    4.36       0.205979        0.33238        0.13585       0.194359
    4.37       0.203924       0.329399       0.134074       0.192182
    4.38       0.201889       0.326446       0.132322       0.190029
    4.39       0.199875       0.323518       0.130593         0.1879
     4.4        0.19788       0.320617       0.128886       0.185795
    4.41       0.195906       0.317742       0.127202       0.183714
    4.42       0.193951       0.314893        0.12554       0.181656
    4.43       0.192016       0.312069       0.123899       0.179621
    4.44         0.1901       0.309271        0.12228       0.177608
    4.45       0.188204       0.306498       0.120682       0.175619
    4.46       0.186326       0.303749       0.119105       0.173651
    4.47       0.184467       0.301026       0.117548       0.171706
    4.48       0.182626       0.298326       0.116012       0.169783
    4.49       0.180804       0.295651       0.114496       0.167881
     4.5          0.179          0.293          0.113          0.166
    4.51       0.177147       0.290277        0.11163       0.164127
    4.52       0.175313       0.287579       0.110277       0.162275
    4.53       0.173499       0.284906        0.10894       0.160444
    4.54       0.171703       0.282258       0.107619       0.158634
    4.55       0.169925       0.279635       0.106314       0.156844
    4.56       0.168166       0.277036       0.105025       0.155075
    4.57       0.166426       0.274461       0.103752       0.153325
    4.58       0.164703       0.271911       0.102494       0.151595
    4.59       0.162998       0.269383       0.101252       0.149885
