# Fission Isotope Spectra
#  Huber model, as provided by Christine Lewis
#    P. Huber and T. Schwetz, Phys. Rev. D70, 053011 (2004)
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
3.490 4.612086e-01 6.463136e-01 3.316833e-01 4.434036e-01
3.500 4.572414e-01 6.420000e-01 3.289306e-01 4.395871e-01
3.510 4.534740e-01 6.375249e-01 3.261504e-01 4.357759e-01
3.520 4.497375e-01 6.330811e-01 3.233936e-01 4.319977e-01
3.530 4.460319e-01 6.286682e-01 3.206602e-01 4.282522e-01
3.540 4.423568e-01 6.242860e-01 3.179499e-01 4.245392e-01
3.550 4.387119e-01 6.199345e-01 3.152625e-01 4.208584e-01
3.560 4.349991e-01 6.156132e-01 3.124884e-01 4.170640e-01
3.570 4.313178e-01 6.113221e-01 3.097388e-01 4.133039e-01
3.580 4.276676e-01 6.070608e-01 3.070133e-01 4.095776e-01
3.590 4.240483e-01 6.028293e-01 3.043118e-01 4.058849e-01
3.600 4.204596e-01 5.986273e-01 3.016341e-01 4.022255e-01
3.610 4.167483e-01 5.944546e-01 2.988582e-01 3.984285e-01
3.620 4.130698e-01 5.903109e-01 2.961077e-01 3.946673e-01
3.630 4.094237e-01 5.861962e-01 2.933827e-01 3.909416e-01
3.640 4.058098e-01 5.821101e-01 2.906826e-01 3.872510e-01
3.650 4.022278e-01 5.780525e-01 2.880075e-01 3.835953e-01
3.660 3.985181e-01 5.740232e-01 2.852298e-01 3.797955e-01
3.670 3.948426e-01 5.700219e-01 2.824790e-01 3.760333e-01
3.680 3.912011e-01 5.660486e-01 2.797546e-01 3.723084e-01
3.690 3.875931e-01 5.621030e-01 2.770566e-01 3.686203e-01
3.700 3.840184e-01 5.581848e-01 2.743845e-01 3.649689e-01
3.710 3.804069e-01 5.542940e-01 2.716181e-01 3.613147e-01
3.720 3.768294e-01 5.504303e-01 2.688795e-01 3.576972e-01
3.730 3.732855e-01 5.465935e-01 2.661685e-01 3.541159e-01
3.740 3.697749e-01 5.427835e-01 2.634849e-01 3.505704e-01
3.750 3.662974e-01 5.390000e-01 2.608283e-01 3.470604e-01
3.760 3.632688e-01 5.351706e-01 2.581407e-01 3.442914e-01
3.770 3.602652e-01 5.313685e-01 2.554807e-01 3.415444e-01
3.780 3.572865e-01 5.275933e-01 2.528481e-01 3.388194e-01
3.790 3.543324e-01 5.238450e-01 2.502426e-01 3.361161e-01
