# Fission Isotope Spectra
#  U235, Pu239, Pu241: Log-linear Interpolation of reported ILL spectra
#  U238: Log-linear Interpolation of Muller's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    4.16       0.242973       0.395266       0.161927       0.229885
    4.17       0.240668       0.392021       0.160317       0.227586
    4.18       0.238385       0.388802       0.158723        0.22531
    4.19       0.236124        0.38561       0.157145       0.223056
     4.2       0.233884       0.382444       0.155582       0.220825
    4.21       0.231666       0.379304       0.154035       0.218616
    4.22       0.229468        0.37619       0.152504        0.21643
    4.23       0.227292       0.373101       0.150988       0.214265
    4.24       0.225136       0.370038       0.149486       0.212122
    4.25          0.223          0.367          0.148           0.21
    4.26       0.220696       0.363709       0.146092       0.207571
    4.27       0.218415       0.360448       0.144209        0.20517
    4.28       0.216158       0.357215        0.14235       0.202797
    4.29       0.213925       0.354012       0.140515       0.200451
     4.3       0.211714       0.350838       0.138703       0.198132
    4.31       0.209526       0.347692       0.136915       0.195841
    4.32       0.207361       0.344574        0.13515       0.193575
    4.33       0.205218       0.341484       0.133408       0.191336
    4.34       0.203098       0.338422       0.131688       0.189123
    4.35       0.200999       0.335387        0.12999       0.186935
    4.36       0.198922        0.33238       0.128314       0.184773
    4.37       0.196867       0.329399        0.12666       0.182636
    4.38       0.194832       0.326446       0.125027       0.180523
    4.39       0.192819       0.323518       0.123416       0.178435
     4.4       0.190827       0.320617       0.121825       0.176371
    4.41       0.188855       0.317742       0.120254       0.174331
    4.42       0.186903       0.314893       0.118704       0.172315
    4.43       0.184972       0.312069       0.117174       0.170321
    4.44       0.183061       0.309271       0.115663       0.168351
    4.45       0.181169       0.306498       0.114172       0.166404
    4.46       0.179297       0.303749         0.1127       0.164479
    4.47       0.177444       0.301026       0.111247       0.162577
    4.48       0.175611       0.298326       0.109813       0.160696
    4.49       0.173796       0.295651       0.108397       0.158837
     4.5          0.172          0.293          0.107          0.157
    4.51       0.170189       0.290277       0.105709       0.155217
    4.52       0.168396       0.287579       0.104434       0.153454
    4.53       0.166623       0.284906       0.103175       0.151711
    4.54       0.164868       0.282258        0.10193       0.149988
    4.55       0.163131       0.279635       0.100701       0.148285
    4.56       0.161413       0.277036       0.099486         0.1466
    4.57       0.159713       0.274461      0.0982861       0.144935
    4.58       0.158031       0.271911      0.0971005       0.143289
    4.59       0.156367       0.269383      0.0959293       0.141662
     4.6        0.15472        0.26688      0.0947722       0.140053
    4.61       0.153091       0.264399      0.0936291       0.138462
    4.62       0.151478       0.261942      0.0924998        0.13689
    4.63       0.149883       0.259508       0.091384       0.135335
    4.64       0.148304       0.257096      0.0902818       0.133798
    4.65       0.146742       0.254706      0.0891928       0.132278
    4.66       0.145197       0.252339       0.088117       0.130776
    4.67       0.143668       0.249994      0.0870541       0.129291
    4.68       0.142155       0.247671      0.0860041       0.127822
    4.69       0.140658       0.245369      0.0849667       0.126371
     4.7       0.139176       0.243088      0.0839418       0.124935
    4.71        0.13771       0.240829      0.0829293       0.123516
    4.72        0.13626       0.238591       0.081929       0.122114
    4.73       0.134825       0.236373      0.0809408       0.120727
    4.74       0.133405       0.234176      0.0799645       0.119356
    4.75          0.132          0.232          0.079          0.118
    4.76       0.130797       0.229809       0.078008       0.116831
    4.77       0.129605       0.227638      0.0770284       0.115674
    4.78       0.128424       0.225488      0.0760611       0.114528
    4.79       0.127254       0.223358       0.075106       0.113393
     4.8       0.126095       0.221249      0.0741628        0.11227
    4.81       0.124946       0.219159      0.0732315       0.111158
    4.82       0.123807       0.217089      0.0723119       0.110056
    4.83       0.122679       0.215038      0.0714038       0.108966
    4.84       0.121561       0.213007      0.0705072       0.107887
    4.85       0.120454       0.210996      0.0696218       0.106818
    4.86       0.119356       0.209003      0.0687475        0.10576
    4.87       0.118269       0.207029      0.0678842       0.104712
    4.88       0.117191       0.205073      0.0670318       0.103675
    4.89       0.116123       0.203136        0.06619       0.102648
     4.9       0.115065       0.201218      0.0653588       0.101631
    4.91       0.114017       0.199317      0.0645381       0.100624
    4.92       0.112978       0.197434      0.0637277      0.0996272
    4.93       0.111948        0.19557      0.0629274      0.0986403
    4.94       0.110928       0.193722      0.0621372      0.0976631
    4.95       0.109917       0.191893      0.0613569      0.0966956
    4.96       0.108916        0.19008      0.0605864      0.0957377
    4.97       0.107923       0.188285      0.0598256      0.0947893
    4.98        0.10694       0.186507      0.0590743      0.0938502
    4.99       0.105966       0.184745      0.0583325      0.0929205
       5          0.105          0.183         0.0576          0.092
    5.01       0.103972       0.181203       0.056988      0.0909789
    5.02       0.102954       0.179425      0.0563824      0.0899691
    5.03       0.101945       0.177663      0.0557833      0.0889706
    5.04       0.100947       0.175919      0.0551906      0.0879831
    5.05      0.0999586       0.174192      0.0546042      0.0870066
    5.06      0.0989797       0.172482       0.054024      0.0860409
    5.07      0.0980104       0.170789      0.0534499      0.0850859
    5.08      0.0970507       0.169112       0.052882      0.0841416
    5.09      0.0961003       0.167452      0.0523201      0.0832077
     5.1      0.0951592       0.165808      0.0517641      0.0822842
    5.11      0.0942274        0.16418      0.0512141      0.0813709
    5.12      0.0933046       0.162568      0.0506699      0.0804678
    5.13      0.0923909       0.160972      0.0501315      0.0795747
    5.14      0.0914862       0.159392      0.0495988      0.0786915
    5.15      0.0905903       0.157827      0.0490718      0.0778181
    5.16      0.0897032       0.156278      0.0485504      0.0769544
    5.17      0.0888247       0.154744      0.0480345      0.0761003
    5.18      0.0879549       0.153225      0.0475241      0.0752557
    5.19      0.0870936        0.15172      0.0470191      0.0744204
     5.2      0.0862407       0.150231      0.0465195      0.0735944
    5.21      0.0853962       0.148756      0.0460252      0.0727776
    5.22      0.0845599       0.147296      0.0455362      0.0719699
    5.23      0.0837319        0.14585      0.0450523      0.0711711
    5.24      0.0829119       0.144418      0.0445736      0.0703812
    5.25         0.0821          0.143         0.0441         0.0696
    5.26      0.0811673       0.141507      0.0436942      0.0688195
    5.27      0.0802451        0.14003      0.0432921      0.0680477
    5.28      0.0793334       0.138568      0.0428938      0.0672845
    5.29      0.0784321       0.137121      0.0424991        0.06653
     5.3       0.077541        0.13569       0.042108      0.0657838
    5.31      0.0766601       0.134273      0.0417205      0.0650461
    5.32      0.0757891       0.132872      0.0413366      0.0643166
    5.33      0.0749281       0.131484      0.0409562      0.0635953
    5.34      0.0740768       0.130112      0.0405794      0.0628821
    5.35      0.0732352       0.128753       0.040206      0.0621769
    5.36      0.0724032       0.127409       0.039836      0.0614796
    5.37      0.0715806       0.126079      0.0394694      0.0607902
    5.38      0.0707674       0.124763      0.0391062      0.0601084
    5.39      0.0699634        0.12346      0.0387464      0.0594343
     5.4      0.0691685       0.122172      0.0383898      0.0587678
    5.41      0.0683827       0.120896      0.0380366      0.0581087
    5.42      0.0676058       0.119634      0.0376866       0.057457
    5.43      0.0668377       0.118385      0.0373398      0.0568127
    5.44      0.0660783       0.117149      0.0369962      0.0561755
    5.45      0.0653276       0.115926      0.0366558      0.0555456
    5.46      0.0645854       0.114716      0.0363185      0.0549226
    5.47      0.0638516       0.113518      0.0359843      0.0543067
    5.48      0.0631262       0.112333      0.0356531      0.0536977
    5.49       0.062409        0.11116      0.0353251      0.0530954
     5.5         0.0617           0.11          0.035         0.0525
    5.51      0.0610936       0.108794      0.0346179      0.0518365
    5.52      0.0604931       0.107601        0.03424      0.0511813
    5.53      0.0598986       0.106421      0.0338661      0.0505345
    5.54      0.0593099       0.105254      0.0334964      0.0498958
    5.55       0.058727         0.1041      0.0331307      0.0492652
    5.56      0.0581498       0.102959       0.032769      0.0486425
    5.57      0.0575783        0.10183      0.0324113      0.0480278
    5.58      0.0570124       0.100713      0.0320574      0.0474208
    5.59       0.056452       0.099609      0.0317074      0.0468214
     5.6      0.0558972      0.0985168      0.0313613      0.0462297
    5.61      0.0553478      0.0974366      0.0310189      0.0456454
    5.62      0.0548038      0.0963682      0.0306802      0.0450685
    5.63      0.0542652      0.0953115      0.0303453      0.0444989
    5.64      0.0537319      0.0942665       0.030014      0.0439365
    5.65      0.0532038      0.0932328      0.0296863      0.0433812
    5.66      0.0526808      0.0922106      0.0293622      0.0428329
    5.67      0.0521631      0.0911995      0.0290416      0.0422916
    5.68      0.0516504      0.0901995      0.0287246      0.0417571
    5.69      0.0511428      0.0892105       0.028411      0.0412293
     5.7      0.0506401      0.0882323      0.0281008      0.0407083
    5.71      0.0501424      0.0872649       0.027794      0.0401938
    5.72      0.0496496       0.086308      0.0274906      0.0396858
    5.73      0.0491616      0.0853617      0.0271905      0.0391842
    5.74      0.0486784      0.0844257      0.0268936       0.038689
    5.75         0.0482         0.0835         0.0266         0.0382
    5.76      0.0476928      0.0825169      0.0261701      0.0377066
    5.77       0.047191      0.0815453      0.0257471      0.0372195
    5.78      0.0466945      0.0805852       0.025331      0.0367388
    5.79      0.0462032      0.0796363      0.0249216      0.0362642
     5.8       0.045717      0.0786987      0.0245188      0.0357958
    5.81       0.045236      0.0777721      0.0241226      0.0353335
    5.82        0.04476      0.0768564      0.0237327      0.0348771
    5.83      0.0442891      0.0759515      0.0233491      0.0344266
    5.84      0.0438231      0.0750572      0.0229718      0.0339819
    5.85       0.043362      0.0741735      0.0226005       0.033543
    5.86      0.0429057      0.0733001      0.0222352      0.0331097
    5.87      0.0424543      0.0724371      0.0218759      0.0326821
    5.88      0.0420076      0.0715842      0.0215223      0.0322599
    5.89      0.0415656      0.0707414      0.0211745      0.0318432
     5.9      0.0411282      0.0699084      0.0208323      0.0314319
    5.91      0.0406955      0.0690853      0.0204956      0.0310259
    5.92      0.0402673      0.0682719      0.0201643      0.0306252
    5.93      0.0398436      0.0674681      0.0198384      0.0302296
    5.94      0.0394244      0.0666737      0.0195178      0.0298391
    5.95      0.0390095      0.0658886      0.0192024      0.0294537
    5.96      0.0385991      0.0651129       0.018892      0.0290733
    5.97      0.0381929      0.0643462      0.0185867      0.0286977
    5.98      0.0377911      0.0635886      0.0182863      0.0283271
    5.99      0.0373935      0.0628399      0.0179908      0.0279612
       6          0.037         0.0621         0.0177         0.0276
    6.01      0.0365366      0.0614118       0.017461      0.0271851
    6.02       0.036079      0.0607312      0.0172252      0.0267765
    6.03      0.0356272      0.0600582      0.0169926       0.026374
    6.04       0.035181      0.0593926      0.0167632      0.0259775
    6.05      0.0347403      0.0587344      0.0165368       0.025587
    6.06      0.0343053      0.0580835      0.0163136      0.0252024
    6.07      0.0338756      0.0574399      0.0160933      0.0248235
    6.08      0.0334513      0.0568033       0.015876      0.0244504
    6.09      0.0330324      0.0561738      0.0156616      0.0240829
     6.1      0.0326187      0.0555513      0.0154501      0.0237208
    6.11      0.0322102      0.0549357      0.0152415      0.0233643
    6.12      0.0318068      0.0543269      0.0150357      0.0230131
    6.13      0.0314084      0.0537248      0.0148327      0.0226671
    6.14       0.031015      0.0531294      0.0146324      0.0223264
    6.15      0.0306266      0.0525406      0.0144348      0.0219908
    6.16       0.030243      0.0519584      0.0142399      0.0216602
    6.17      0.0298643      0.0513826      0.0140476      0.0213346
    6.18      0.0294902      0.0508131       0.013858      0.0210139
    6.19      0.0291209        0.05025      0.0136708       0.020698
     6.2      0.0287562      0.0496932      0.0134862      0.0203869
    6.21       0.028396      0.0491425      0.0133041      0.0200804
    6.22      0.0280404      0.0485979      0.0131245      0.0197786
    6.23      0.0276892      0.0480593      0.0129473      0.0194813
    6.24      0.0273424      0.0475267      0.0127725      0.0191884
    6.25          0.027          0.047         0.0126         0.0189
    6.26      0.0266937       0.046491      0.0124532      0.0186691
    6.27      0.0263909      0.0459876      0.0123081      0.0184411
    6.28      0.0260915      0.0454896      0.0121647      0.0182158
    6.29      0.0257956       0.044997       0.012023      0.0179933
     6.3      0.0255029      0.0445097      0.0118829      0.0177735
    6.31      0.0252136      0.0440277      0.0117444      0.0175564
    6.32      0.0249276       0.043551      0.0116076      0.0173419
    6.33      0.0246448      0.0430793      0.0114724      0.0171301
    6.34      0.0243653      0.0426128      0.0113387      0.0169208
    6.35      0.0240889      0.0421514      0.0112066      0.0167141
    6.36      0.0238156      0.0416949       0.011076      0.0165099
    6.37      0.0235455      0.0412434       0.010947      0.0163082
    6.38      0.0232784      0.0407968      0.0108194       0.016109
    6.39      0.0230143       0.040355      0.0106934      0.0159122
     6.4      0.0227532       0.039918      0.0105688      0.0157179
    6.41      0.0224951      0.0394857      0.0104456      0.0155259
    6.42      0.0222399      0.0390582      0.0103239      0.0153362
    6.43      0.0219877      0.0386352      0.0102037      0.0151489
    6.44      0.0217382      0.0382168      0.0100848      0.0149638
    6.45      0.0214916       0.037803     0.00996727       0.014781
    6.46      0.0212478      0.0373936     0.00985114      0.0146005
    6.47      0.0210068      0.0369887     0.00973637      0.0144221
    6.48      0.0207685      0.0365881     0.00962293      0.0142459
    6.49      0.0205329      0.0361919     0.00951081      0.0140719
     6.5         0.0203         0.0358         0.0094         0.0139
    6.51      0.0200558      0.0354035     0.00928661      0.0137236
    6.52      0.0198145      0.0350114     0.00917458      0.0135494
    6.53      0.0195762      0.0346237     0.00906391      0.0133774
    6.54      0.0193407      0.0342402     0.00895457      0.0132076
    6.55       0.019108       0.033861     0.00884655        0.01304
    6.56      0.0188781       0.033486     0.00873984      0.0128744
    6.57       0.018651      0.0331152     0.00863441       0.012711
    6.58      0.0184267      0.0327484     0.00853025      0.0125497
    6.59       0.018205      0.0323858     0.00842735      0.0123904
     6.6       0.017986      0.0320271      0.0083257      0.0122331
    6.61      0.0177696      0.0316724     0.00822526      0.0120779
    6.62      0.0175558      0.0313216     0.00812604      0.0119245
    6.63      0.0173447      0.0309748     0.00802802      0.0117732
    6.64       0.017136      0.0306317     0.00793118      0.0116238
    6.65      0.0169299      0.0302925      0.0078355      0.0114762
    6.66      0.0167262       0.029957     0.00774098      0.0113306
    6.67       0.016525      0.0296252      0.0076476      0.0111867
    6.68      0.0163262      0.0292971     0.00755535      0.0110447
    6.69      0.0161298      0.0289727     0.00746421      0.0109046
     6.7      0.0159357      0.0286518     0.00737417      0.0107661
    6.71       0.015744      0.0283345     0.00728522      0.0106295
    6.72      0.0155546      0.0280207     0.00719733      0.0104946
    6.73      0.0153675      0.0277104     0.00711051      0.0103614
    6.74      0.0151826      0.0274035     0.00702474      0.0102298
    6.75          0.015         0.0271        0.00694         0.0101
    6.76      0.0147875      0.0267456     0.00683148     0.00994318
    6.77       0.014578      0.0263958     0.00672466      0.0097888
    6.78      0.0143715      0.0260506     0.00661951     0.00963681
    6.79      0.0141679      0.0257099       0.006516     0.00948718
     6.8      0.0139672      0.0253736     0.00641412     0.00933988
    6.81      0.0137694      0.0250418     0.00631382     0.00919486
    6.82      0.0135743      0.0247143     0.00621509      0.0090521
    6.83       0.013382       0.024391     0.00611791     0.00891155
    6.84      0.0131925       0.024072     0.00602225     0.00877318
    6.85      0.0130056      0.0237572     0.00592808     0.00863696
    6.86      0.0128214      0.0234465     0.00583538     0.00850286
