# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    4.42       0.186903       0.275179       0.118704       0.172315
    4.43       0.184972        0.27297       0.117174       0.170321
    4.44       0.183061        0.27078       0.115663       0.168351
    4.45       0.181169       0.268606       0.114172       0.166404
    4.46       0.179297       0.266451         0.1127       0.164479
    4.47       0.177444       0.264313       0.111247       0.162577
    4.48       0.175611       0.262191       0.109813       0.160696
    4.49       0.173796       0.260087       0.108397       0.158837
     4.5          0.172          0.258          0.107          0.157
    4.51       0.170189       0.255886       0.105709       0.155217
    4.52       0.168396        0.25379       0.104434       0.153454
    4.53       0.166623       0.251711       0.103175       0.151711
    4.54       0.164868       0.249649        0.10193       0.149988
    4.55       0.163131       0.247604       0.100701       0.148285
    4.56       0.161413       0.245575       0.099486         0.1466
    4.57       0.159713       0.243564      0.0982861       0.144935
    4.58       0.158031       0.241568      0.0971005       0.143289
    4.59       0.156367       0.239589      0.0959293       0.141662
     4.6        0.15472       0.237627      0.0947722       0.140053
    4.61       0.153091        0.23568      0.0936291       0.138462
    4.62       0.151478       0.233749      0.0924998        0.13689
    4.63       0.149883       0.231834       0.091384       0.135335
    4.64       0.148304       0.229935      0.0902818       0.133798
    4.65       0.146742       0.228051      0.0891928       0.132278
    4.66       0.145197       0.226183       0.088117       0.130776
    4.67       0.143668        0.22433      0.0870541       0.129291
    4.68       0.142155       0.222492      0.0860041       0.127822
    4.69       0.140658        0.22067      0.0849667       0.126371
     4.7       0.139176       0.218862      0.0839418       0.124935
    4.71        0.13771       0.217069      0.0829293       0.123516
    4.72        0.13626       0.215291       0.081929       0.122114
    4.73       0.134825       0.213527      0.0809408       0.120727
    4.74       0.133405       0.211778      0.0799645       0.119356
    4.75          0.132       0.210043          0.079          0.118
    4.76       0.130797       0.208322       0.078008       0.116831
    4.77       0.129605       0.206616      0.0770284       0.115674
    4.78       0.128424       0.204923      0.0760611       0.114528
    4.79       0.127254       0.203244       0.075106       0.113393
     4.8       0.126095       0.201579      0.0741628        0.11227
    4.81       0.124946       0.199928      0.0732315       0.111158
    4.82       0.123807        0.19829      0.0723119       0.110056
    4.83       0.122679       0.196665      0.0714038       0.108966
    4.84       0.121561       0.195054      0.0705072       0.107887
    4.85       0.120454       0.193456      0.0696218       0.106818
    4.86       0.119356       0.191872      0.0687475        0.10576
    4.87       0.118269         0.1903      0.0678842       0.104712
    4.88       0.117191       0.188741      0.0670318       0.103675
    4.89       0.116123       0.187195        0.06619       0.102648
     4.9       0.115065       0.185661      0.0653588       0.101631
    4.91       0.114017        0.18414      0.0645381       0.100624
    4.92       0.112978       0.182632      0.0637277      0.0996272
    4.93       0.111948       0.181135      0.0629274      0.0986403
    4.94       0.110928       0.179652      0.0621372      0.0976631
    4.95       0.109917        0.17818      0.0613569      0.0966956
    4.96       0.108916        0.17672      0.0605864      0.0957377
    4.97       0.107923       0.175272      0.0598256      0.0947893
    4.98        0.10694       0.173837      0.0590743      0.0938502
    4.99       0.105966       0.172412      0.0583325      0.0929205
       5          0.105          0.171         0.0576          0.092
    5.01       0.103972       0.169372       0.056988      0.0909789
    5.02       0.102954        0.16776      0.0563824      0.0899691
    5.03       0.101945       0.166163      0.0557833      0.0889706
    5.04       0.100947       0.164581      0.0551906      0.0879831
    5.05      0.0999586       0.163015      0.0546042      0.0870066
    5.06      0.0989797       0.161463       0.054024      0.0860409
    5.07      0.0980104       0.159926      0.0534499      0.0850859
    5.08      0.0970507       0.158404       0.052882      0.0841416
    5.09      0.0961003       0.156896      0.0523201      0.0832077
     5.1      0.0951592       0.155403      0.0517641      0.0822842
    5.11      0.0942274       0.153923      0.0512141      0.0813709
    5.12      0.0933046       0.152458      0.0506699      0.0804678
    5.13      0.0923909       0.151007      0.0501315      0.0795747
    5.14      0.0914862       0.149569      0.0495988      0.0786915
    5.15      0.0905903       0.148146      0.0490718      0.0778181
    5.16      0.0897032       0.146736      0.0485504      0.0769544
    5.17      0.0888247       0.145339      0.0480345      0.0761003
    5.18      0.0879549       0.143955      0.0475241      0.0752557
    5.19      0.0870936       0.142585      0.0470191      0.0744204
     5.2      0.0862407       0.141228      0.0465195      0.0735944
    5.21      0.0853962       0.139883      0.0460252      0.0727776
    5.22      0.0845599       0.138552      0.0455362      0.0719699
    5.23      0.0837319       0.137233      0.0450523      0.0711711
    5.24      0.0829119       0.135927      0.0445736      0.0703812
    5.25         0.0821       0.134633         0.0441         0.0696
    5.26      0.0811673       0.133351      0.0436942      0.0688195
    5.27      0.0802451       0.132082      0.0432921      0.0680477
    5.28      0.0793334       0.130825      0.0428938      0.0672845
    5.29      0.0784321       0.129579      0.0424991        0.06653
     5.3       0.077541       0.128346       0.042108      0.0657838
    5.31      0.0766601       0.127124      0.0417205      0.0650461
    5.32      0.0757891       0.125914      0.0413366      0.0643166
    5.33      0.0749281       0.124716      0.0409562      0.0635953
    5.34      0.0740768       0.123528      0.0405794      0.0628821
    5.35      0.0732352       0.122353       0.040206      0.0621769
    5.36      0.0724032       0.121188       0.039836      0.0614796
    5.37      0.0715806       0.120034      0.0394694      0.0607902
    5.38      0.0707674       0.118892      0.0391062      0.0601084
    5.39      0.0699634        0.11776      0.0387464      0.0594343
     5.4      0.0691685       0.116639      0.0383898      0.0587678
    5.41      0.0683827       0.115529      0.0380366      0.0581087
    5.42      0.0676058       0.114429      0.0376866       0.057457
    5.43      0.0668377        0.11334      0.0373398      0.0568127
    5.44      0.0660783       0.112261      0.0369962      0.0561755
    5.45      0.0653276       0.111192      0.0366558      0.0555456
    5.46      0.0645854       0.110134      0.0363185      0.0549226
    5.47      0.0638516       0.109086      0.0359843      0.0543067
    5.48      0.0631262       0.108047      0.0356531      0.0536977
    5.49       0.062409       0.107019      0.0353251      0.0530954
     5.5         0.0617          0.106          0.035         0.0525
    5.51      0.0610936       0.104818      0.0346179      0.0518365
    5.52      0.0604931       0.103649        0.03424      0.0511813
    5.53      0.0598986       0.102493      0.0338661      0.0505345
    5.54      0.0593099        0.10135      0.0334964      0.0498958
    5.55       0.058727       0.100219      0.0331307      0.0492652
    5.56      0.0581498      0.0991014       0.032769      0.0486425
    5.57      0.0575783      0.0979961      0.0324113      0.0480278
    5.58      0.0570124      0.0969031      0.0320574      0.0474208
    5.59       0.056452      0.0958223      0.0317074      0.0468214
     5.6      0.0558972      0.0947536      0.0313613      0.0462297
    5.61      0.0553478      0.0936968      0.0310189      0.0456454
